일시,province,시군구명칭,약품구분,예측수량,학습모델,학습방법
2026-01,서울,은평구,항히스타민제,1448265.3688078462,릿지회귀,배깅
2026-01,서울,종로구,항히스타민제,690094.1301734268,릿지회귀,배깅
2026-01,서울,중구,항히스타민제,339977.5997744281,릿지회귀,배깅
2026-01,서울,중랑구,항히스타민제,1112658.602242553,릿지회귀,배깅
2026-02,서울,강남구,해열진통소염제,7425024.800567134,릿지회귀,배깅
2026-02,서울,강동구,해열진통소염제,5950295.10606377,릿지회귀,배깅
2026-02,서울,강북구,해열진통소염제,2194917.8674680376,릿지회귀,배깅
2026-02,서울,강서구,해열진통소염제,4673896.30509473,릿지회귀,배깅
2026-02,서울,관악구,해열진통소염제,2791177.1471410296,릿지회귀,배깅
2026-02,서울,광진구,해열진통소염제,2627375.879572885,릿지회귀,배깅
2026-02,서울,구로구,해열진통소염제,3259342.0737094795,릿지회귀,배깅
2026-02,서울,금천구,해열진통소염제,1736322.4142168302,릿지회귀,배깅
2026-02,서울,노원구,해열진통소염제,3950586.7617353857,릿지회귀,배깅
2026-02,서울,도봉구,해열진통소염제,1936145.7240793344,릿지회귀,배깅
2026-02,서울,동대문구,해열진통소염제,3412045.8676690045,릿지회귀,배깅
2026-02,서울,동작구,해열진통소염제,2906504.909407817,릿지회귀,배깅
2026-02,서울,마포구,해열진통소염제,2061880.917337817,릿지회귀,배깅
2026-02,서울,서대문구,해열진통소염제,2444621.078518616,릿지회귀,배깅
2026-02,서울,서초구,해열진통소염제,4285463.614719988,릿지회귀,배깅
2026-02,서울,성동구,해열진통소염제,2308426.631205698,릿지회귀,배깅
2026-02,서울,성북구,해열진통소염제,2973419.129100332,릿지회귀,배깅
2026-02,서울,송파구,해열진통소염제,5576943.225057823,릿지회귀,배깅
2026-02,서울,양천구,해열진통소염제,3172630.2459839354,릿지회귀,배깅
2026-02,서울,영등포구,해열진통소염제,4012351.868050512,릿지회귀,배깅
2026-02,서울,용산구,해열진통소염제,1042744.2614748176,릿지회귀,배깅
2026-02,서울,은평구,해열진통소염제,3751622.26173108,릿지회귀,배깅
2026-02,서울,종로구,해열진통소염제,2832781.5478616464,릿지회귀,배깅
2026-02,서울,중구,해열진통소염제,1397974.5939170078,릿지회귀,배깅
2026-02,서울,중랑구,해열진통소염제,3027326.7392725185,릿지회귀,배깅
2026-02,서울,강남구,진해거담제,4216911.200618952,릿지회귀,배깅
2026-02,서울,강동구,진해거담제,4093727.068020288,릿지회귀,배깅
2026-02,서울,강북구,진해거담제,1468285.0656477092,릿지회귀,배깅
2026-02,서울,강서구,진해거담제,3542999.864206215,릿지회귀,배깅
2026-02,서울,관악구,진해거담제,2029714.9665818985,릿지회귀,배깅
2026-02,서울,광진구,진해거담제,1636081.7456050203,릿지회귀,배깅
2026-02,서울,구로구,진해거담제,3063762.076919877,릿지회귀,배깅
2026-02,서울,금천구,진해거담제,1244559.2260064415,릿지회귀,배깅
2026-02,서울,노원구,진해거담제,2882482.896584268,릿지회귀,배깅
2026-02,서울,도봉구,진해거담제,1480304.2175889509,릿지회귀,배깅
2026-02,서울,동대문구,진해거담제,2249536.2319080504,릿지회귀,배깅
2026-02,서울,동작구,진해거담제,2386604.4474868006,릿지회귀,배깅
2026-02,서울,마포구,진해거담제,2038752.525531755,릿지회귀,배깅
2026-02,서울,서대문구,진해거담제,2055201.0323864392,릿지회귀,배깅
2026-02,서울,서초구,진해거담제,2632842.119764137,릿지회귀,배깅
2026-02,서울,성동구,진해거담제,1736272.1828040702,릿지회귀,배깅
2026-02,서울,성북구,진해거담제,2938920.545946978,릿지회귀,배깅
