일시,province,시군구명칭,약품구분,예측수량,학습모델,학습방법
2026-01,서울,성동구,항히스타민제,1040706.2848938596,랜덤포레스트,그리드서치
2026-01,서울,성북구,항히스타민제,1596029.9467023748,랜덤포레스트,그리드서치
2026-01,서울,송파구,항히스타민제,3084731.083197472,랜덤포레스트,그리드서치
2026-01,서울,양천구,항히스타민제,1550783.800413241,랜덤포레스트,그리드서치
2026-01,서울,영등포구,항히스타민제,1794341.4719870142,랜덤포레스트,그리드서치
2026-01,서울,용산구,항히스타민제,693416.3870017016,랜덤포레스트,그리드서치
2026-01,서울,은평구,항히스타민제,1733862.8696884194,랜덤포레스트,그리드서치
2026-01,서울,종로구,항히스타민제,928662.1543496368,랜덤포레스트,그리드서치
2026-01,서울,중구,항히스타민제,675365.8591201982,랜덤포레스트,그리드서치
2026-01,서울,중랑구,항히스타민제,1264772.8220303538,랜덤포레스트,그리드서치
2026-02,서울,강남구,해열진통소염제,8168930.727385714,랜덤포레스트,그리드서치
2026-02,서울,강동구,해열진통소염제,6466634.37056212,랜덤포레스트,그리드서치
2026-02,서울,강북구,해열진통소염제,2614999.461279559,랜덤포레스트,그리드서치
2026-02,서울,강서구,해열진통소염제,5116931.212327039,랜덤포레스트,그리드서치
2026-02,서울,관악구,해열진통소염제,3318369.584662594,랜덤포레스트,그리드서치
2026-02,서울,광진구,해열진통소염제,3219047.66619136,랜덤포레스트,그리드서치
2026-02,서울,구로구,해열진통소염제,3748746.863669609,랜덤포레스트,그리드서치
2026-02,서울,금천구,해열진통소염제,2187120.718194256,랜덤포레스트,그리드서치
2026-02,서울,노원구,해열진통소염제,4424289.666433304,랜덤포레스트,그리드서치
2026-02,서울,도봉구,해열진통소염제,2596987.725886632,랜덤포레스트,그리드서치
2026-02,서울,동대문구,해열진통소염제,3798148.180450527,랜덤포레스트,그리드서치
2026-02,서울,동작구,해열진통소염제,3446341.5731367795,랜덤포레스트,그리드서치
2026-02,서울,마포구,해열진통소염제,2570401.688796281,랜덤포레스트,그리드서치
2026-02,서울,서대문구,해열진통소염제,2788317.932859808,랜덤포레스트,그리드서치
2026-02,서울,서초구,해열진통소염제,4663360.99370684,랜덤포레스트,그리드서치
2026-02,서울,성동구,해열진통소염제,2655612.632952288,랜덤포레스트,그리드서치
2026-02,서울,성북구,해열진통소염제,3478250.243328707,랜덤포레스트,그리드서치
2026-02,서울,송파구,해열진통소염제,6162998.146793976,랜덤포레스트,그리드서치
2026-02,서울,양천구,해열진통소염제,3666911.146746956,랜덤포레스트,그리드서치
2026-02,서울,영등포구,해열진통소염제,4469897.970950311,랜덤포레스트,그리드서치
2026-02,서울,용산구,해열진통소염제,1607409.7486871674,랜덤포레스트,그리드서치
2026-02,서울,은평구,해열진통소염제,4134674.078858388,랜덤포레스트,그리드서치
2026-02,서울,종로구,해열진통소염제,3273127.1750900685,랜덤포레스트,그리드서치
2026-02,서울,중구,해열진통소염제,1899668.6481098456,랜덤포레스트,그리드서치
2026-02,서울,중랑구,해열진통소염제,3544142.378066607,랜덤포레스트,그리드서치
2026-02,서울,강남구,진해거담제,4927276.136120017,랜덤포레스트,그리드서치
2026-02,서울,강동구,진해거담제,4935509.099974438,랜덤포레스트,그리드서치
2026-02,서울,강북구,진해거담제,2070178.5117169656,랜덤포레스트,그리드서치
2026-02,서울,강서구,진해거담제,4444762.535640584,랜덤포레스트,그리드서치
2026-02,서울,관악구,진해거담제,2560165.4074422726,랜덤포레스트,그리드서치
2026-02,서울,광진구,진해거담제,2222110.078623222,랜덤포레스트,그리드서치
2026-02,서울,구로구,진해거담제,3867714.018163137,랜덤포레스트,그리드서치
2026-02,서울,금천구,진해거담제,1764511.5854599988,랜덤포레스트,그리드서치
2026-02,서울,노원구,진해거담제,3613531.853987847,랜덤포레스트,그리드서치
2026-02,서울,도봉구,진해거담제,2100814.418667652,랜덤포레스트,그리드서치
2026-02,서울,동대문구,진해거담제,2820603.0323117184,랜덤포레스트,그리드서치
2026-02,서울,동작구,진해거담제,2873831.476476688,랜덤포레스트,그리드서치
2026-02,서울,마포구,진해거담제,2667666.23161118,랜덤포레스트,그리드서치
2026-02,서울,서대문구,진해거담제,2667933.514863932,랜덤포레스트,그리드서치
2026-02,서울,서초구,진해거담제,3492594.3878404214,랜덤포레스트,그리드서치
2026-02,서울,성동구,진해거담제,2489605.54587608,랜덤포레스트,그리드서치
2026-02,서울,성북구,진해거담제,3598470.9396277703,랜덤포레스트,그리드서치
2026-02,서울,송파구,진해거담제,5125433.577610617,랜덤포레스트,그리드서치
2026-02,서울,양천구,진해거담제,3334887.969370268,랜덤포레스트,그리드서치
2026-02,서울,영등포구,진해거담제,3614732.0710724015,랜덤포레스트,그리드서치
2026-02,서울,용산구,진해거담제,1118964.7016200551,랜덤포레스트,그리드서치
2026-02,서울,은평구,진해거담제,3454268.9151963955,랜덤포레스트,그리드서치
2026-02,서울,종로구,진해거담제,1824267.1733560343,랜덤포레스트,그리드서치
2026-02,서울,중구,진해거담제,1476200.244876231,랜덤포레스트,그리드서치
2026-02,서울,중랑구,진해거담제,3375856.55769657,랜덤포레스트,그리드서치
2026-02,서울,강남구,항히스타민제,2691511.6845834344,랜덤포레스트,그리드서치
2026-02,서울,강동구,항히스타민제,2244717.242976991,랜덤포레스트,그리드서치
2026-02,서울,강북구,항히스타민제,788120.0424547683,랜덤포레스트,그리드서치
2026-02,서울,강서구,항히스타민제,2487041.6708626887,랜덤포레스트,그리드서치
2026-02,서울,관악구,항히스타민제,1205164.0662448197,랜덤포레스트,그리드서치
2026-02,서울,광진구,항히스타민제,1120735.3196316091,랜덤포레스트,그리드서치
2026-02,서울,구로구,항히스타민제,1618144.8129719093,랜덤포레스트,그리드서치
2026-02,서울,금천구,항히스타민제,695117.8996740789,랜덤포레스트,그리드서치
2026-02,서울,노원구,항히스타민제,2030798.637981305,랜덤포레스트,그리드서치
2026-02,서울,도봉구,항히스타민제,1113694.1251679067,랜덤포레스트,그리드서치
2026-02,서울,동대문구,항히스타민제,1630177.4555585736,랜덤포레스트,그리드서치
2026-02,서울,동작구,항히스타민제,1125891.595953243,랜덤포레스트,그리드서치
2026-02,서울,마포구,항히스타민제,1455290.3518320012,랜덤포레스트,그리드서치
2026-02,서울,서대문구,항히스타민제,1089914.0464988044,랜덤포레스트,그리드서치
2026-02,서울,서초구,항히스타민제,1711406.904963198,랜덤포레스트,그리드서치
2026-02,서울,성동구,항히스타민제,1046236.6305052956,랜덤포레스트,그리드서치
2026-02,서울,성북구,항히스타민제,1709470.8804815907,랜덤포레스트,그리드서치
2026-02,서울,송파구,항히스타민제,2896996.458872586,랜덤포레스트,그리드서치
2026-02,서울,양천구,항히스타민제,1640922.8483477929,랜덤포레스트,그리드서치
2026-02,서울,영등포구,항히스타민제,1788109.4148448224,랜덤포레스트,그리드서치
2026-02,서울,용산구,항히스타민제,679695.7357335621,랜덤포레스트,그리드서치
2026-02,서울,은평구,항히스타민제,1707829.4505337935,랜덤포레스트,그리드서치
2026-02,서울,종로구,항히스타민제,879213.8023737605,랜덤포레스트,그리드서치
2026-02,서울,중구,항히스타민제,679458.9442755072,랜덤포레스트,그리드서치
2026-02,서울,중랑구,항히스타민제,1307955.5994739004,랜덤포레스트,그리드서치
2026-03,서울,강남구,해열진통소염제,7810481.202788888,랜덤포레스트,그리드서치
2026-03,서울,강동구,해열진통소염제,6993001.004223604,랜덤포레스트,그리드서치
2026-03,서울,강북구,해열진통소염제,2861289.8952424927,랜덤포레스트,그리드서치
2026-03,서울,강서구,해열진통소염제,5375739.062764874,랜덤포레스트,그리드서치
2026-03,서울,관악구,해열진통소염제,3623335.795556743,랜덤포레스트,그리드서치
2026-03,서울,광진구,해열진통소염제,3502094.505746424,랜덤포레스트,그리드서치
2026-03,서울,구로구,해열진통소염제,4121687.696431754,랜덤포레스트,그리드서치
2026-03,서울,금천구,해열진통소염제,2730974.868417537,랜덤포레스트,그리드서치
2026-03,서울,노원구,해열진통소염제,4821978.183347029,랜덤포레스트,그리드서치
2026-03,서울,도봉구,해열진통소염제,2799028.9204491065,랜덤포레스트,그리드서치
2026-03,서울,동대문구,해열진통소염제,4130007.566930384,랜덤포레스트,그리드서치
2026-03,서울,동작구,해열진통소염제,3774239.932563516,랜덤포레스트,그리드서치
2026-03,서울,마포구,해열진통소염제,2852092.320386372,랜덤포레스트,그리드서치
2026-03,서울,서대문구,해열진통소염제,3296923.0688479887,랜덤포레스트,그리드서치
2026-03,서울,서초구,해열진통소염제,4691728.772243415,랜덤포레스트,그리드서치
2026-03,서울,성동구,해열진통소염제,2911066.8534738827,랜덤포레스트,그리드서치
2026-03,서울,성북구,해열진통소염제,3771495.9932924015,랜덤포레스트,그리드서치
2026-03,서울,송파구,해열진통소염제,6160835.739592138,랜덤포레스트,그리드서치
2026-03,서울,양천구,해열진통소염제,4165699.232342992,랜덤포레스트,그리드서치
2026-03,서울,영등포구,해열진통소염제,4891714.795972321,랜덤포레스트,그리드서치
2026-03,서울,용산구,해열진통소염제,2952065.9934771545,랜덤포레스트,그리드서치
2026-03,서울,은평구,해열진통소염제,4261970.905311492,랜덤포레스트,그리드서치
2026-03,서울,종로구,해열진통소염제,3618824.780565462,랜덤포레스트,그리드서치
2026-03,서울,중구,해열진통소염제,2138054.745574431,랜덤포레스트,그리드서치
2026-03,서울,중랑구,해열진통소염제,4109277.501315128,랜덤포레스트,그리드서치
2026-03,서울,강남구,진해거담제,5225771.752632828,랜덤포레스트,그리드서치
2026-03,서울,강동구,진해거담제,5208607.403261683,랜덤포레스트,그리드서치
2026-03,서울,강북구,진해거담제,2624303.476696704,랜덤포레스트,그리드서치
2026-03,서울,강서구,진해거담제,4891944.985047084,랜덤포레스트,그리드서치
2026-03,서울,관악구,진해거담제,2878748.185827811,랜덤포레스트,그리드서치
2026-03,서울,광진구,진해거담제,2790212.984855632,랜덤포레스트,그리드서치
2026-03,서울,구로구,진해거담제,4398577.255545423,랜덤포레스트,그리드서치
2026-03,서울,금천구,진해거담제,2285250.381412643,랜덤포레스트,그리드서치
2026-03,서울,노원구,진해거담제,4139024.364350008,랜덤포레스트,그리드서치
2026-03,서울,도봉구,진해거담제,2706169.400584582,랜덤포레스트,그리드서치
2026-03,서울,동대문구,진해거담제,3344626.74333682,랜덤포레스트,그리드서치
2026-03,서울,동작구,진해거담제,3291946.298598676,랜덤포레스트,그리드서치
2026-03,서울,마포구,진해거담제,3039192.507881783,랜덤포레스트,그리드서치
2026-03,서울,서대문구,진해거담제,3190662.6482041283,랜덤포레스트,그리드서치
2026-03,서울,서초구,진해거담제,3832681.690378764,랜덤포레스트,그리드서치
2026-03,서울,성동구,진해거담제,2773917.9955028505,랜덤포레스트,그리드서치
2026-03,서울,성북구,진해거담제,4083324.057927588,랜덤포레스트,그리드서치
2026-03,서울,송파구,진해거담제,5371936.3428511005,랜덤포레스트,그리드서치
2026-03,서울,양천구,진해거담제,3663524.3062191634,랜덤포레스트,그리드서치
2026-03,서울,영등포구,진해거담제,4225315.146416186,랜덤포레스트,그리드서치
2026-03,서울,용산구,진해거담제,1624224.4694206354,랜덤포레스트,그리드서치
2026-03,서울,은평구,진해거담제,3857088.052292152,랜덤포레스트,그리드서치
2026-03,서울,종로구,진해거담제,2168120.279357193,랜덤포레스트,그리드서치
2026-03,서울,중구,진해거담제,1968668.1534543352,랜덤포레스트,그리드서치
2026-03,서울,중랑구,진해거담제,3723453.163208144,랜덤포레스트,그리드서치
2026-03,서울,강남구,항히스타민제,3157748.28899088,랜덤포레스트,그리드서치
2026-03,서울,강동구,항히스타민제,2903153.53585758,랜덤포레스트,그리드서치
2026-03,서울,강북구,항히스타민제,1040777.4166016984,랜덤포레스트,그리드서치
2026-03,서울,강서구,항히스타민제,2830225.757424679,랜덤포레스트,그리드서치
2026-03,서울,관악구,항히스타민제,1525920.6463879405,랜덤포레스트,그리드서치
2026-03,서울,광진구,항히스타민제,1494985.6391498777,랜덤포레스트,그리드서치
2026-03,서울,구로구,항히스타민제,2796913.5097924853,랜덤포레스트,그리드서치
2026-03,서울,금천구,항히스타민제,904725.4272993898,랜덤포레스트,그리드서치
2026-03,서울,노원구,항히스타민제,2480861.756573924,랜덤포레스트,그리드서치
2026-03,서울,도봉구,항히스타민제,1457430.2105646715,랜덤포레스트,그리드서치
2026-03,서울,동대문구,항히스타민제,2776832.1744091515,랜덤포레스트,그리드서치
2026-03,서울,동작구,항히스타민제,1474787.6476894678,랜덤포레스트,그리드서치
2026-03,서울,마포구,항히스타민제,1846161.2865275072,랜덤포레스트,그리드서치
2026-03,서울,서대문구,항히스타민제,1460369.966758611,랜덤포레스트,그리드서치
2026-03,서울,서초구,항히스타민제,2614865.367958269,랜덤포레스트,그리드서치
2026-03,서울,성동구,항히스타민제,1439568.964496367,랜덤포레스트,그리드서치
2026-03,서울,성북구,항히스타민제,3018420.505839752,랜덤포레스트,그리드서치
2026-03,서울,송파구,항히스타민제,3345834.890192446,랜덤포레스트,그리드서치
2026-03,서울,양천구,항히스타민제,2899937.859264117,랜덤포레스트,그리드서치
2026-03,서울,영등포구,항히스타민제,2159379.157264231,랜덤포레스트,그리드서치
2026-03,서울,용산구,항히스타민제,910152.3834410212,랜덤포레스트,그리드서치
2026-03,서울,은평구,항히스타민제,2285377.2778245374,랜덤포레스트,그리드서치
2026-03,서울,종로구,항히스타민제,1065780.046101296,랜덤포레스트,그리드서치
2026-03,서울,중구,항히스타민제,950173.155912798,랜덤포레스트,그리드서치
2026-03,서울,중랑구,항히스타민제,1586744.0237227413,랜덤포레스트,그리드서치
2026-04,서울,강남구,해열진통소염제,7633366.0916838385,랜덤포레스트,그리드서치
2026-04,서울,강동구,해열진통소염제,6888315.088698952,랜덤포레스트,그리드서치
2026-04,서울,강북구,해열진통소염제,2808923.9586692727,랜덤포레스트,그리드서치
2026-04,서울,강서구,해열진통소염제,5277424.134113648,랜덤포레스트,그리드서치
2026-04,서울,관악구,해열진통소염제,3555902.0414734683,랜덤포레스트,그리드서치
2026-04,서울,광진구,해열진통소염제,3430804.948580383,랜덤포레스트,그리드서치
2026-04,서울,구로구,해열진통소염제,4091328.33681065,랜덤포레스트,그리드서치
2026-04,서울,금천구,해열진통소염제,2718812.239756995,랜덤포레스트,그리드서치
2026-04,서울,노원구,해열진통소염제,4675938.389178787,랜덤포레스트,그리드서치
2026-04,서울,도봉구,해열진통소염제,2637311.2602877207,랜덤포레스트,그리드서치
2026-04,서울,동대문구,해열진통소염제,4136518.726756877,랜덤포레스트,그리드서치
2026-04,서울,동작구,해열진통소염제,3695733.012963752,랜덤포레스트,그리드서치
2026-04,서울,마포구,해열진통소염제,2718211.9089755146,랜덤포레스트,그리드서치
2026-04,서울,서대문구,해열진통소염제,3338457.7010170487,랜덤포레스트,그리드서치
2026-04,서울,서초구,해열진통소염제,4625716.634038975,랜덤포레스트,그리드서치
2026-04,서울,성동구,해열진통소염제,2996054.2296950505,랜덤포레스트,그리드서치
2026-04,서울,성북구,해열진통소염제,3691280.374381729,랜덤포레스트,그리드서치
2026-04,서울,송파구,해열진통소염제,6023512.149058636,랜덤포레스트,그리드서치
2026-04,서울,양천구,해열진통소염제,4131862.573941315,랜덤포레스트,그리드서치
2026-04,서울,영등포구,해열진통소염제,4749537.962444191,랜덤포레스트,그리드서치
2026-04,서울,용산구,해열진통소염제,2402096.722954273,랜덤포레스트,그리드서치
2026-04,서울,은평구,해열진통소염제,4260487.993816752,랜덤포레스트,그리드서치
